Cage	Mouse 	Day	Gender	Co_Housed	Genotype	Treatment_Grp	Treatment_1	Treatment_2	Colonization_stat	Toxin_Activity	Experiment 
713	713_3	41	female	no	WT	630_Mock	630	mock	colonized 	3.3	2013
713	713_4	41	female	no	WT	630_VPI 	630	VPI	colonized 	3.04	2013
713	713_5	41	female	no	WT	630_VPI 	630	VPI	colonized 	3.3	2013
714	714_1	41	female	no	WT	630_Mock	630	mock	cleared	0	2013
714	714_2	41	female	no	WT	630_Mock	630	mock	cleared	0	2013
714	714_3	41	female	no	WT	630_VPI 	630	VPI	cleared	0	2013
714	714_4	41	female	no	WT	630_VPI 	630	VPI	cleared	0	2013
715	715_1	41	female	no	WT	630_Mock	630	mock	colonized 	2.3	2013
715	715_2	41	female	no	WT	630_Mock	630	mock	colonized 	0	2013
715	715_3	41	female	no	WT	630_VPI 	630	VPI	colonized 	0	2013
715	715_4	41	female	no	WT	630_VPI 	630	VPI	colonized 	0	2013
715	715_5	41	female	no	WT	630_VPI 	630	VPI	colonized 	0	2013
